Method;pimex.access.notificationservice.NotificationServiceInterface.mailSupport;;;
Method;pimex.access.notificationservice.NotificationServiceInterface.mailTo;;;
Method;pimex.access.notificationservice.NotificationServiceInterface.notifyTo;;;
Method;pimex.access.notificationservice.NotificationServiceInterface.notifyToAllUsers;;;
Method;pimex.access.notificationservice.NotificationServiceInterface.notifyUsers;;;
Class;pimex.access.notificationservice.NotificationServiceListener;;;
Method;pimex.access.notificationservice.NotificationServiceListener.getName;;;
Method;pimex.access.notificationservice.NotificationServiceListener.newNotification;;;
Class;pimex.access.notificationservice.NotificationServiceProxy;1;1;1
Method;pimex.access.notificationservice.NotificationServiceProxy.NotificationServiceProxy;;;1
Method;pimex.access.notificationservice.NotificationServiceProxy.enableNotifications;;;1
Method;pimex.access.notificationservice.NotificationServiceProxy.mailSupport;;;1
Method;pimex.access.notificationservice.NotificationServiceProxy.mailTo;;;1
Method;pimex.access.notificationservice.NotificationServiceProxy.notifyTo;;;1
Method;pimex.access.notificationservice.NotificationServiceProxy.notifyToAllUsers;;;1
Method;pimex.access.notificationservice.NotificationServiceProxy.notifyUsers;;;1
Method;pimex.access.notificationservice.NotificationServiceProxy.update;;;1
Package;pimex.access.routeservice;;;
Class;pimex.access.routeservice.RouteServiceInterface;;;
Method;pimex.access.routeservice.RouteServiceInterface.createRoute;;;
Method;pimex.access.routeservice.RouteServiceInterface.getRoutes;;;
Method;pimex.access.routeservice.RouteServiceInterface.removeRoute;;;
Method;pimex.access.routeservice.RouteServiceInterface.updateRoute;;;
Class;pimex.access.routeservice.RouteServiceListener;;;
Method;pimex.access.routeservice.RouteServiceListener.getName;;;
Method;pimex.access.routeservice.RouteServiceListener.routeCreated;;;
Method;pimex.access.routeservice.RouteServiceListener.routeRemoved;;;
Class;pimex.access.routeservice.RouteServiceProxy;1;;1
Method;pimex.access.routeservice.RouteServiceProxy.RouteServiceProxy;;;1
Method;pimex.access.routeservice.RouteServiceProxy.createRoute;;;1
Method;pimex.access.routeservice.RouteServiceProxy.getRoutes;;;1
Method;pimex.access.routeservice.RouteServiceProxy.removeRoute;;;1
Method;pimex.access.routeservice.RouteServiceProxy.update;;;1
Method;pimex.access.routeservice.RouteServiceProxy.updateRoute;;;1
Package;pimex.access.scenariumservice;;;
Class;pimex.access.scenariumservice.ScenariumServiceInterface;;;
Method;pimex.access.scenariumservice.ScenariumServiceInterface.approveScenarium;;;
Method;pimex.access.scenariumservice.ScenariumServiceInterface.closeScenarium;;;
Method;pimex.access.scenariumservice.ScenariumServiceInterface.create;;;
Method;pimex.access.scenariumservice.ScenariumServiceInterface.createFolder;;;
Method;pimex.access.scenariumservice.ScenariumServiceInterface.getAllTreeInfos;;;
Method;pimex.access.scenariumservice.ScenariumServiceInterface.getHistoryFor;;;
Method;pimex.access.scenariumservice.ScenariumServiceInterface.moveScenarium;;;
Method;pimex.access.scenariumservice.ScenariumServiceInterface.openScenarium;;;
Method;pimex.access.scenariumservice.ScenariumServiceInterface.reloadOpenedScena;;;
Method;pimex.access.scenariumservice.ScenariumServiceInterface.removeFolder;;;
Method;pimex.access.scenariumservice.ScenariumServiceInterface.removeScenarium;;;
Method;pimex.access.scenariumservice.ScenariumServiceInterface.reopen;;;
Method;pimex.access.scenariumservice.ScenariumServiceInterface.saveScenarium;;;
Method;pimex.access.scenariumservice.ScenariumServiceInterface.updateScenariumData;;;
Method;pimex.access.scenariumservice.ScenariumServiceInterface.updateScenariumProperties;;;
Class;pimex.access.scenariumservice.ScenariumServiceListener;;;
Method;pimex.access.scenariumservice.ScenariumServiceListener.folderRemoved;;;
Method;pimex.access.scenariumservice.ScenariumServiceListener.folderSaved;;;
Method;pimex.access.scenariumservice.ScenariumServiceListener.getName;;;
Method;pimex.access.scenariumservice.ScenariumServiceListener.scenariumApproved;;;
Method;pimex.access.scenariumservice.ScenariumServiceListener.scenariumBlocked;;;
Method;pimex.access.scenariumservice.ScenariumServiceListener.scenariumCreated;;;
