org.apache.oodt.cas.workflow.util.XmlStructFactory;External_Addictor_per_Class
org.apache.oodt.cas.filemgr.tools.CatalogSearch;godclass1;External_Addictor_per_Class
org.apache.oodt.cas.filemgr.structs.type.TypeHandler;External_Addictor_per_Class
org.apache.oodt.cas.pushpull.retrievalsystem.FileRetrievalSystem;godclass2;godclass1;External_Addictor_per_Class
org.apache.oodt.opendapps.util.ProfileUtils;godclass1;External_Addictor_per_Class
org.apache.oodt.cas.catalog.mapping.DataSourceIngestMapper;godclass1;External_Addictor_per_Class
org.apache.oodt.cas.filemgr.metadata.extractors.examples.MimeTypeExtractor;External_Addictor_per_Class
org.apache.oodt.commons.xml.DOMUtil;External_Attractor_per_Class
org.apache.oodt.cas.pushpull.config.Config;godclass2;godclass1;External_Addictor_per_Class
org.apache.oodt.cas.workflow.instrepo.WorkflowInstanceRepository;External_Attractor_per_Class
org.apache.oodt.cas.catalog.struct.impl.index.WorkflowManagerDataSourceIndex;godclass1;External_Addictor_per_Class
org.apache.oodt.cas.resource.jobrepo.JobRepository;External_Attractor_per_Class
org.apache.oodt.commons.date.DateUtils;External_Attractor_per_Class
org.apache.oodt.cas.filemgr.structs.ProductType;External_Attractor_per_Class
org.apache.oodt.cas.curation.servlet.BeginIngestionTaskServlet;External_Addictor_per_Class
org.apache.oodt.cas.workflow.examples.MailTask;External_Addictor_per_Class
org.apache.oodt.cas.pushpull.config.ProtocolInfo;External_Addictor_per_Class
org.apache.oodt.cas.filemgr.structs.exceptions.ConnectionException;External_Attractor_per_Class
org.apache.oodt.cas.filemgr.system.XmlRpcFileManager;godclass2;godclass1;External_Addictor_per_Class
org.apache.oodt.cas.catalog.struct.Dictionary;External_Attractor_per_Class;External_Addictor_per_Class
org.apache.oodt.cas.workflow.structs.WorkflowInstancePage;External_Attractor_per_Class
org.apache.oodt.cas.resource.structs.JobInput;External_Attractor_per_Class
org.apache.oodt.cas.filemgr.catalog.TestLuceneCatalog;godclass1
org.apache.oodt.cas.filemgr.catalog.MappedDataSourceCatalog;External_Addictor_per_Class
org.apache.oodt.cas.resource.structs.exceptions.MonitorException;External_Attractor_per_Class
org.apache.oodt.cas.resource.structs.Job;External_Attractor_per_Class
org.apache.oodt.cas.resource.util.XmlRpcStructFactory;External_Attractor_per_Class
org.apache.oodt.cas.catalog.server.action.PagedQueryServerAction;External_Addictor_per_Class
org.apache.oodt.cas.catalog.struct.TransactionIdFactory;External_Attractor_per_Class
org.apache.oodt.cas.filemgr.tools.QueryTool;godclass1;External_Addictor_per_Class
org.apache.oodt.grid.ConfigServlet;External_Addictor_per_Class
org.apache.oodt.profile.ProfileException;External_Attractor_per_Class
org.apache.oodt.cas.product.rss.RSSProductTransferServlet;External_Addictor_per_Class
org.apache.oodt.profile.handlers.DatabaseProfileManager;External_Addictor_per_Class
org.apache.oodt.cas.filemgr.catalog.DataSourceCatalog;godclass2;godclass1;External_Addictor_per_Class
org.apache.oodt.profile.ProfileAttributes;External_Attractor_per_Class
org.apache.oodt.cas.resource.structs.exceptions.JobRepositoryException;External_Attractor_per_Class
